link,title,variation
https://shopee.vn/Thuốc-nhuộm-tóc-màu-ĐEN-TUYỀN-ĐEN-TỰ-NHIÊN-thuốc-nhuộm-tóc-không-cần-tẩy-kem-nhuộm-tóc-tại-nhà-Buddyhairs-tặng-kèm-dụ-i.302719943.3649914081?sp_atk=f679836f-1f88-4d92-b1e6-d1e5807e98e1&xptdk=f679836f-1f88-4d92-b1e6-d1e5807e98e1,"Yêu thích+Thuốc nhuộm tóc màu ĐEN TUYỀN, ĐEN TỰ NHIÊN, thuốc nhuộm tóc không cần tẩy, kem nhuộm tóc tại nhà Buddyhairs tặng kèm dụ",ĐEN TUYỀN|||Dưỡng nhiều - 200
https://shopee.vn/Thuốc-nhuộm-tóc-màu-Đen-thuốc-nhuộm-tóc-màu-Đen-Tuyền-JunHair-tặng-kèm-oxi-trợ-dưỡng-bao-trai-mũ-trùm-bịt-tai-i.1010767544.25701963984?sp_atk=5cc525c1-7f11-49a7-aac3-06cd590c4e1a&xptdk=5cc525c1-7f11-49a7-aac3-06cd590c4e1a,"Yêu thíchThuốc nhuộm tóc màu Đen, thuốc nhuộm tóc màu Đen Tuyền, JunHair, tặng kèm oxi trợ dưỡng bao trai mũ trùm bịt tai",Dưỡng Keratin|||Không
https://shopee.vn/Thuốc-Nhuộm-Tóc-Màu-Đen-Tuyền-Thuốc-nhuộm-Tóc-chính-hãng-tặng-kèm-Oxy-Bao-Tay-Cherry_Hair.-Cherry-Hair-i.939128713.22721604596?sp_atk=60904842-d7e4-413c-ba82-926bec9e3ca7&xptdk=60904842-d7e4-413c-ba82-926bec9e3ca7,"Yêu thích+Thuốc Nhuộm Tóc Màu Đen Tuyền Thuốc nhuộm Tóc chính hãng tặng kèm Oxy + Bao Tay, Cherry_Hair. Cherry Hair",Nhuộm dưỡng collagen|||không
https://shopee.vn/Thuốc-nhuộm-tóc-màu-đen-tuyền-tặng-kèm-oxy-trợ-dưỡng-và-bao-tay-i.596004543.17919564210?sp_atk=b2384eb1-0ff8-46e2-9079-baf7570ade02&xptdk=b2384eb1-0ff8-46e2-9079-baf7570ade02,"Thuốc nhuộm tóc màu đen tuyền , tặng kèm oxy trợ dưỡng và bao tay",Nhuộm Dưỡng Nhẹ
https://shopee.vn/thuốc-nhuộm-tóc-màu-đen-tuyền-.-combo-thuốc-nhuộm-tóc-tại-nhà-i.898763646.23604696884?sp_atk=7c51a42e-3413-4ce0-baa7-828893bf8db6&xptdk=7c51a42e-3413-4ce0-baa7-828893bf8db6,Yêu thích+thuốc nhuộm tóc màu đen tuyền . combo thuốc nhuộm tóc tại nhà,nhuộm dưỡng
https://shopee.vn/Thuốc-Nhuộm-Tóc-Màu-ĐEN-TUYỀN-Không-Tẩy-Tặng-kèm-Oxy-trợ-nhuộm-MinHairShop-i.1191391775.25614403866?sp_atk=4abf0f61-1fc6-458a-8fc9-ffe659624750&xptdk=4abf0f61-1fc6-458a-8fc9-ffe659624750,"Thuốc Nhuộm Tóc Màu ĐEN TUYỀN Không Tẩy, Tặng kèm Oxy trợ nhuộm | MinHairShop",Dưỡng Nhiều|||Không Dụng Cụ
https://shopee.vn/Thuốc-Nhuộm-Tóc-Màu-ĐEN-TUYỀN-Không-Tẩy-Thuốc-nhuộm-tóc-Kadola-i.1053243071.25300247453?sp_atk=132d2208-b140-472b-a0c9-205a6483b162&xptdk=132d2208-b140-472b-a0c9-205a6483b162,Thuốc Nhuộm Tóc Màu ĐEN TUYỀN Không Tẩy  Thuốc nhuộm tóc Kadola,nhuộm collagen dưỡng
https://shopee.vn/Thuốc-Nhuộm-Tóc-Màu-ĐEN-TUYỀN-Không-Tẩy-Chenglovehair-Chenglovehairs-i.261570329.7644505684?sp_atk=bf4047a3-8848-4add-b053-0d13900b9099&xptdk=bf4047a3-8848-4add-b053-0d13900b9099,"Yêu thích+Thuốc Nhuộm Tóc Màu ĐEN TUYỀN Không Tẩy | Chenglovehair, Chenglovehairs",Dưỡng ít - 65k|||Không
https://shopee.vn/Thuốc-nhuộm-tóc-màu-Đen-Tuyền-tặng-kèm-dụng-cụ-nhuộm-Thuốc-nhuộm-tóc-Hiền-Thục-i.1026688226.20395481891?sp_atk=29017fc9-5fe5-4e02-877d-c45f347a7fb5&xptdk=29017fc9-5fe5-4e02-877d-c45f347a7fb5,Thuốc nhuộm tóc màu Đen Tuyền tặng kèm dụng cụ nhuộm | Thuốc nhuộm tóc Hiền Thục,Collagen dưỡng
https://shopee.vn/-rẻ-vô-địch-Thuốc-nhuộm-Tóc-Tại-nhà-màu-Đen-Tuyền-kèm-oxi-và-gang-tay-i.1000952802.22867913768?sp_atk=b16ce4b4-ac70-4ab5-ba45-91da7ad684b8&xptdk=b16ce4b4-ac70-4ab5-ba45-91da7ad684b8,Yêu thích[rẻ vô địch] Thuốc nhuộm Tóc Tại nhà màu Đen Tuyền kèm oxi và gang tay,no_variation
